date,date_str,program,ata,variant,model_detail,event,status,note,event_summary,source,model_key,from_file
2024-11-21,"Nov 21, 2024",A320,21,NAN,,QG1L,,QG1L (KPI-INT) will be rerun on ATA21 as soon as MOCA updates are provided by GE: Objective is to complete by next week ⇒ Please ref AI tracker attached to meeting notes email.,QG1L,program-section,A320:21:NAN,aircraft_model_events.csv
2024-11-21,"Nov 21, 2024",A320,27,NAN,,QG1L,,QG1L (KPI-OPS) will be run on ATA27/FCFS if pipeline build on 1yr DAL data succeeds.,QG1L,program-section,A320:27:NAN,aircraft_model_events.csv
2024-11-21,"Nov 21, 2024",A330,21,NAN,,,,ATA21: authorization to proceed confirmed at last flying T&C.,,program-section,A330:21:NAN,aircraft_model_events.csv
2024-11-21,"Nov 21, 2024",A350,21,NAN,,QG1,,ATA21 will not move to QG1 phase due to insufficient parameters. Proposal is to replace with ATA32 ⇒ to be discussed at Dec T&C.,QG1,program-section,A350:21:NAN,aircraft_model_events.csv
2024-11-21,"Nov 21, 2024",A350,27,NAN,,QG0,,ATA27 & ATA36: Mathieu MONGERMONT please provide QG0 template for team to review and proceed with next steps ⇒ ref AI tracker (attached to meeting notes email).,QG0,program-section,A350:27:NAN,aircraft_model_events.csv
2024-12-12,"Dec 12, 2024",A320,27,NAN,,,,A320 ATA27 will be reclassified as Diagnostic model.,,compound-line,A320:27:NAN,aircraft_model_events.csv
2024-12-12,"Dec 12, 2024",A330,21,NAN,,,,ATA21,,program-section,A330:21:NAN,aircraft_model_events.csv
2024-12-12,"Dec 12, 2024",A350,21,NAN,,,,GE A350 ATA21 model cannot be developed due to insufficient parameters in QAR data. GE needs ACMS & ADC data to research if parameters for ATA21 are available.,,compound-line,A350:21:NAN,aircraft_model_events.csv
2024-12-12,"Dec 12, 2024",A350,21,NAN,,,,ATA21,,program-section,A350:21:NAN,aircraft_model_events.csv
2024-12-12,"Dec 12, 2024",A350,21,NAN,,,,ATA21 specific request; First time being performed; Expectation Airbus to copy the data to shared location for GE to process downstream,,program-section,A350:21:NAN,aircraft_model_events.csv
2024-12-12,"Dec 12, 2024",A350,27,NAN,,,,ATA27,,program-section,A350:27:NAN,aircraft_model_events.csv
2024-12-12,"Dec 12, 2024",A350,36,NAN,,,,ATA36,,program-section,A350:36:NAN,aircraft_model_events.csv
2024-12-19,"Dec 19, 2024",A320,21,NAN,,QG1L,Passed,QG1L for ATA21 passed. CS Team will review MPVAL as part of deployment to production sanity check tomorrow.,QG1L | PASSED,program-section,A320:21:NAN,aircraft_model_events.csv
2024-12-19,"Dec 19, 2024",A350,21,NAN,,,,DAIA will advise on ACMS and ADC data needs for ATA21 by End of Jan.,,program-section,A350:21:NAN,aircraft_model_events.csv
2024-12-19,"Dec 19, 2024",A350,27,NAN,,QG0,Scheduled,QG0 for ATA27 is scheduled for Jan 14 (CW3).,QG0 | Scheduled,program-section,A350:27:NAN,aircraft_model_events.csv
2024-12-19,"Dec 19, 2024",A350,36,NAN,,QG0,Scheduled,QG0 for ATA36 is scheduled for CW4 due to some issues with QAR data (toggling behaviour) that need to be resolved by DAIA & CS team.,QG0 | Scheduled,program-section,A350:36:NAN,aircraft_model_events.csv
2025-01-09,"Jan 9, 2025",A320,21,NAN,,,Scheduled,GE is requesting an update on the deployment of A320 ATA21 model in batch 72 - scheduled for Jan 6th.,Scheduled,compound-line,A320:21:NAN,aircraft_model_events.csv
2025-01-09,"Jan 9, 2025",A320,21,NAN,,,Scheduled,GE is requesting an update on the deployment of A320 ATA21 model in batch 72 - scheduled for Jan 6th.,Scheduled,program-section,A320:21:NAN,aircraft_model_events.csv
2025-01-09,"Jan 9, 2025",A320,21,NAN,,,,ACMS/ADC data for ATA21 on A330 and A350 programs is still planned to be made available at the end of January.,,program-section,A320:21:NAN,aircraft_model_events.csv
2025-01-09,"Jan 9, 2025",A350,27,NAN,,QG0,,"QG0 for ATA27 is on schedule for CW3. Meeting invites have been sent out. QG0 should include data availability options from other airlines i.e.number of potential airlines, removals per airline, # tails per airline, and other data pertinent to assessing model performance.",QG0,program-section,A350:27:NAN,aircraft_model_events.csv
2025-01-09,"Jan 9, 2025",A350,36,NAN,,QG0,Issue,QG0 for ATA36 for CW4 can proceed with toggling issue.,QG0 | Issue,program-section,A350:36:NAN,aircraft_model_events.csv
2025-01-16,"Jan 16, 2025",A320,21,NAN,,,Issue,ATA21 model could not be deployed to production due to a technical issue with the Model_ID (old Model_ID was used in MOCA). The issue prevented charts from displaying in alerts. Goal is to provide an updated model for batch #74 deployment.,Issue,program-section,A320:21:NAN,aircraft_model_events.csv
2025-01-16,"Jan 16, 2025",A330,21,NAN,,,,ATA21 ACMS/ADC datasource still planned for End of January.,,program-section,A330:21:NAN,aircraft_model_events.csv
2025-01-16,"Jan 16, 2025",A350,21,NAN,,,,ATA21 ACMS/ADC datasource still planned for End of January.,,program-section,A350:21:NAN,aircraft_model_events.csv
2025-01-16,"Jan 16, 2025",A350,27,NAN,,QG0,Scheduled,ATA27 & ATA36: 1-2 technical sessions to be scheduled next week to align on the P/Ns and removals data needed before declaring QG0. A separate QG0 session will be held to review the results.,QG0 | Scheduled,program-section,A350:27:NAN,aircraft_model_events.csv
2025-01-16,"Jan 16, 2025",A350,36,NAN,,,Issue,ATA36: Issue with toggling sensor data values needs to be escalated to QARibou team to resolve.,Issue,program-section,A350:36:NAN,aircraft_model_events.csv
2025-01-23,"Jan 23, 2025",A330,21,NAN,,,,"ATA21: DAIA is working toward providing DAL removals, part descriptions and ADC sensor data to GE by the end of January.",,program-section,A330:21:NAN,aircraft_model_events.csv
2025-01-23,"Jan 23, 2025",A350,21,NAN,,,,"ATA21: ACMS data is requested. The DAIA team did not find any ADC data to support ATA 21, 27 or 36.",,program-section,A350:21:NAN,aircraft_model_events.csv
2025-01-23,"Jan 23, 2025",A350,21,NAN,,,,AI: DAIA will confirm if ACMS data is available to cover the ATA 21 needs (target Date: end of January).,,program-section,A350:21:NAN,aircraft_model_events.csv
2025-01-23,"Jan 23, 2025",A350,36,NAN,,,,ATA36: The recommendation from GE is to provide 2 alert sets with the model.,,program-section,A350:36:NAN,aircraft_model_events.csv
2025-01-30,"Jan 30, 2025",A320,21,NAN,,,,ATA21: New MOCA updated needed from GE to make batch #74 deployment window. GE to update on status.,,program-section,A320:21:NAN,aircraft_model_events.csv
2025-01-30,"Jan 30, 2025",A330,21,NAN,,,,ATA21: Delta has approved data sharing for ATA21. The DAIA team is on schedule to deliver DAL ADC A330 data this week.,,program-section,A330:21:NAN,aircraft_model_events.csv
2025-01-30,"Jan 30, 2025",A350,21,NAN,,,,ATA21: There are some items requiring clarification from CS Group for ACMS A350 data - DAIA will provide an update asap.,,program-section,A350:21:NAN,aircraft_model_events.csv
2025-01-30,"Jan 30, 2025",A350,27,NAN,,QG0,Scheduled,ATA27: a tech review session is scheduled for ATA27 on Monday Feb 2. Goal is to prepare for a successful QG0 Wed 6.,QG0 | Scheduled,program-section,A350:27:NAN,aircraft_model_events.csv
2025-01-30,"Jan 30, 2025",A350,36,NAN,,,,ATA36: The ticket to the QARibou team was submitted through Service Now.,,program-section,A350:36:NAN,aircraft_model_events.csv
2025-02-06,"Feb 6, 2025",A320,21,NAN,,,,ATA21 & ATA32: GE will deliver the MOCAs to DAIA. Let’s try to complete this week to meet the batch #74 deployment schedule.,,program-section,A320:21:NAN,aircraft_model_events.csv
